feature,split_importance,gain_importance,permutation_importance
p_from_center,0.11038961038961038,0.22150829772341032,0.01583456430294755
vol_36,0.13636363636363635,0.23675013189318178,0.014302484740485844
days_to_expiry,0.2012987012987013,0.10054401691664852,0.007352994796174961
p_vs_6h_high,0.055658627087198514,0.04333695204120649,0.005329149138793621
p,0.1326530612244898,0.10164284351057343,0.004272819042185294
vol_12,0.02040816326530612,0.012189574400541305,0.004071657760506164
vol_6,0.02040816326530612,0.009801408385622915,0.003575353756125166
p_vs_6h_mean,0.039888682745825604,0.10306581355347808,0.003514069510128004
hour_cos,0.0640074211502783,0.027151970967526633,0.002805676145424596
dp_36,0.06215213358070501,0.03577967751372455,0.0012692159647572088
dp_3,0.012987012987012988,0.008492335235559131,0.0009851175597819783
log_days_to_expiry,0.038033395176252316,0.019020368826606338,0.0009391568180100451
dp_12,0.0055658627087198514,0.024389789513019844,0.0005765087897766086
p_complement,0.06307977736549165,0.03297200682062682,0.0004992505407384606
dp_6,0.0074211502782931356,0.01167738717309087,0.0004732944251302773
ddp_3,0.0,0.0,5.551115123125783e-17
ddp_6,0.0,0.0,5.551115123125783e-17
is_weekend,0.00463821892393321,0.0013818923132291976,-0.00013597714027441254
hour_sin,0.02504638218923933,0.010295533211953773,-0.001243337991142679
